Title,Price,Sold,Reviews,Condition,Mounting & Moving,Country/Region of Manufacture,Heating System,UPC,EAN,Power Source,Color,Number of Heat Settings,MPN,Material,Brand,Type,Control Style,Model,Features,Mounting Location,Item Width,Power,Colour,Room,Item Length,Item Depth,Heating Element Format,Voltage,Area Covered,Year Manufactured,BTU Heating Rating,Timer Control,Air Direction,Smart Home Protocol,Operating Sound Rating,Cool Fan Setting,Location,Recommended Environment,Type 1,Custom Bundle,Heating Element Material,Power (W),Design,Voltage Supply,Bundle Listing,Heating Technology,Energy Efficiency Rating,Unit Type,Energy Star,Tank Capacity,Energy Efficiency Ratio (EER),EC Range,Application,Annual Fuel Utilization Efficiency (AFUE),Size,Wattage,ISBN,Non-Domestic Product,Modified Item,Heater Type,Cable Length,Width,Heater Style,Height,Style,Smart Home Compatibility,Manufacturer Warranty,Country of Origin,Product Name,Temperature,Cover material,Lead wire,Perfermance 1,Perfermance 2,Bundle Description,Number of Cool Speeds,Tonnage,style,Manufacturer Part Number,Manufacturer,Item Height,Item Weight,Prop65_fl,Prop65Warning,ProductType,Country of Manufacture,Product Type,Instructions Included,Shape,Refrigerant,Compatible Model,Current Rating,Country Of Origin,Package Contents,Voltage:,Power ：,Product color:,Power supply:,Packing:,Number of Items,Use,Certification,Electric Heater Type,Heating Element,Installation,Origin,Contents of the package,Application Area,Rotating Speed,Timing Function,(Remote control) Battery,Volatage,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Heating Method,Item Dimensions LxWxH,Region Code,Item model number,Package Dimensions,Heat Output,Weight,Heater,Finish,Manufacturer Color,Collection,Category,California Prop. 65 Warning,Color:,Power:,Application area:,Compressor Type,Personal Heater,Heating Wattage,Recommended Location,Plug Type,Applicable Area,Programmable Timer,Air Volume,Idle Speed of Fan,Frequency,Part Number,Batteries Required?,Item Package Quantity,Product Dimensions,Warranty Description,Batteries Included?,Number Of Pieces,Is Discontinued By Manufacturer,Included Components,Energy Rating,Stock #,KeroHeat Wick,Redstone RS-110 Wick,Compatible Product,Feature,HeatMate CTN110 Wick,Measurement (Approximate),Title,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Max. Power (kW),Dimension(L*W*H),Insulation,Heating BTU,Name,Power Cord Length,Product Power,Fit For,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Model Number,Number Of Speed Settings,Area Heated,Voltage (v),Function,Sku,Temperature Range,Timing Time,Wind Speed,Package,Quality,Positive,Ships From,Made in,payment,Overall Length (In.),Overall Length,Terminals,Sheath Material,NumberOfItems,Slotted Hole Width,Mounting Dimension,Watts,Screw Size,Max. Sheath Temp.,Mounting Type,Watt Density,Phase,Slotted Hole Length,Quantity,Room Coverage Area,Item name,Control,Christmas gift,Ceramic Heating Element,Plugs,Heater electrics,Voltage (V),Mini Warmer,Warm air mcahine,Fan Heater,Suitable for,Winter warm items,Brand Name,Heater For Home,Wall heater,Home Heater,Number of Speed Settings,Winter Hand Warmer,Air Blower,SHIPPING,RETURN,ITEM LOCATION,International buyers,Tube Length
Pro-Parts F226831 26831 Rotor Kit Replacement for Mr Heater Heat-Star Kerosene,32.53,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,796062303981,Does not apply,,Black,,Does not apply,,Poagavgs,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0796062303981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Corona Kerosene kero Heater Fuel Feeding Cap-for Model SX-B2412Y,47.0,Last item available, ,New,,,,Does not apply,,Kerosene,,,6x,,Corona,Heater Fuel Feeding Cap,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater 1500W Ceramic Portable Electric Heater Small Heater with Tip-Over S,34.04, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,726084718890,0726084718890,Corded Electric,Black,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-rotatable,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,2.23 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ceramic, Fan_&_forced_air",,,BNT-15L,9.92 x 6.65 x 5.31 inches,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800W PTC Ceramic Portable Mini Space Heater Indoor Home Office Green,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Forced Air/Fan,,,Electric,Green,,,,Unbranded,Portable Heater,,,,Desk/Tabletop,,800W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater Electric Mini Wall Space Heater Fan Room Office Hand Warmer Winter New,30.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Forced Air/Fan,Does not apply,,Electric,Black,3,Does not apply,,ZUCZUG,Portable Heater,Switch,Wall Electric Heater WT-301,"Overheat Protection, Timer","Desk/Tabletop, Floor, Wall",,400 W,,,,,,110V(US Plug),20㎡ or less,,,,,,,,,,,,,,,,,,,,,,,,,,11.5*12.5*18.5CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583g,PTC Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELONIS PHTA1ABB Portable Space Ceramic Heater 900W/1500W ,34.95,30-day returns, ,,,China,,810049710101,,Electric,Black,2,,,Pelonis,Portable Heater,,PHTA1ABB,Auto Shut-off,"Desk/Tabletop, Floor",,900W-1500 W,,,5.82,7,Coil,120 V,100 sq ft or Less,,,,,,,,,,,,Brass,,,,,,,,,,3 or Less,,,Less Than 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crofton 1500W Utility Heater UH-1-T ,32.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,Electric,,,,,Crofton,Portable Heater,,,,,,,,,,,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Markel Neo-Glo Space Heater Model 198 TS Art Deco Rare Tested Works Good,32.99,6 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,United States,,,,Electric,Beige,Infinitely variable,Does Not Apply,,Markel,Fan Heater,,198 TS,Carrying Handle,,,,,,,,,120 V,,,,,,,,,,,,,,1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATTON PORTABLE SPACE HEATER THERMOSTAT CONTROL WITH FAN 1500 WATTS 120V PUH680,34.95, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,Forced Air/Fan,,,Electric,Gray,5 or More,,Steel,Patton,Portable Heater,"Rotary Knob, Switch",Patton PUH680,Auto Shut-off,"Desk/Tabletop, Floor",10,1500 W,,,16.5,8,Coil,120 V,,,,,,,None,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V Thermostatic Electric Heater PTC Fan Incubator Element Small Space Heating,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,China,Heat Pump,354482671853,,"Electric, Fan",Black,1,0743686016,Aluminum,Unbranded,Electric Heater Parts,"App Control, Digital, Push Button",0743685996,"Auto Shut-off, Timer","Desk/Tabletop, Wall",See picture,70W,,,See picture,See picture,Strip,12 V,None,2021,Less Than 2000 BTU,See picture,None,"Clear Connect, Insteon",None,,,,,No,PTC Thermistor,,,,,,,,A+++,1 gal or Less (5 L),None,A+++ - D,,None,,,,,,,See picture,,,,,Amazon Alexa,Other: See Item Description,,,,,,,,,,See picture,,,,,,,,,,,,,,,Less Than 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelonis 1500W Infared Quartz Heater, PSH20Q3ABB, Black- NEW-3 settings",30.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Infrared,750545106551,,Electric,Black,3,,Plastic & Metal,Pelonis,Portable Heater,Dial,PSH20Q3ABB,,Floor,,,,,,,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Heater Quartz Radiant 3 Heat Settings w/ Overheat Protection Black New,,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Radiant,750545106568,Does not apply,Electric,White,,Does not apply,,Pelonis Technologies,Radiant Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric Space Heater 1500W/750W Ceramic Room Heater with Tip Over a...,31.82,Last item available, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,Does not apply,Does not apply,,,,Does not apply,,Minetom,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8002126439568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marley Qmark CWHSM Surface Mounting Frame For CWH1000 Series Wall Heaters,35.0, , ,,,,,685360139470,,,,,,,QMark,,,,,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black & Decker Electric Space Heater Model BDH55 1500 Watts 1.A5,34.95,Longtime member, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,Forced Air/Fan,050875522732,,Electric,Silver,Variable,BDH55,Aluminum,Black & Decker,Portable Heater,Dial,BDH55,Auto Shut-off,Desk/Tabletop,NA,1001-1500 W,,,NA,NA,Coil,120 V,151-200 sq ft,,2000-2999 BTU,,,,Standard,,,,,,Copper,,,,,,,,Compliant,NA,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andilly Space Heater Electric Heater for Home Office Ceramic Small Heater 1500W,35.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Forced Air/Fan,does not apply,,Electric,Black,3,,Ceramic,andily,Portable Heater,Analog/Mechanical,,Auto Shut-off,"Desk/Tabletop, Floor",,750-1500W,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154060 150K btu nozzle Toro Lawn Boy / Champion/ Gilson Heater 232749   29719-27,30.0,56 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,,,,232749,,Toro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESA REDDY HEATER M12462-9 MOTOR START RELAY GENUINE OEM Portable Heater,30.00, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,Does not apply,,,,,M12462-9 M124629,,Desa,motor start relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESA REDDY HEATER M25061-1 MOTOR START RELAY GENUINE OEM Portable Heater,30.00, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,,,,M25061-1,,Desa,motor start relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enerco / Mr. Heater, 3/8"" Female Pipe Thread Low Pressure Propane Regulator",, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,089301737686,,Propane,,,F273768,,Mr. Heater,Portable Heater,,F273767,,,,,,,,,,,,,,,,Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gocheer Electric Space Heater White 1000W YU-1902 110v New Unused Open Box,34.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,Electric,,,,,Gocheer,Portable Heater,,YU-1902,,,,,,,,,,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater Timed 1000W Fan Forced Adjustable Thermostat Table/Wall,30.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Forced Air/Fan,,,"Electric, Fan",Black,,Does Not Apply,Ceramic,Unbranded,Portable Heater,,,Auto Shut-off,Desk/Tabletop,,,,,,,,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell 360 Surround Fan-Forced Heater 8x8x11"" White HHF360W Efficient",34.95, ,"[""Everytime the heater is turned on, you have to reset it.  It has no memory.  The thermostat doesn't work well in that it doesn't come on at the set temperature."", 'Heater dose not operate. No heat at all. No fan spin. Just sits there like a paper wait. I’m so disappointed.  I need a heater. Why would I be sent a none functioning $80 plus item and the monitor door alarm is still in the box?  Sign of a stolen item. I have no choice but to sent to BBB fraud department. I’m going to reverse cc charges and submit visa fraud case. I’m so cold and tired ', 'Works perfectly,  throws a lot of heat almost instantly, light, convenient. Wish I had gotten it sooner.Using it right this second to warm this room and not run the whole house system.', 'It’s excellent heater . I love it . Valuable items for those cold days ', 'This unit heats two rooms efficiently.', 'works good', 'great item', 'Very good heat', 'Just what I was looking for.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Forced Air/Fan,,,Electric,Black,5 or More,HCE845B,Ceramic,Honeywell,Portable Heater,"Digital, Touch",Honeywell HeatGenius HCE845,Timer,Floor,10.2 in,1001-1500 W,,,19.5 in,7 in,Strip,120 V,151-200 sq ft,2018,5000-5999 BTU,15 min,,N/A,Standard,,,,,,,,,,,,,,1 Star,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC 12V Electric Car SUV Heater Heating Fan Cooling Defogger Defroster Demister,32.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Unbranded,,,,,,,,,,,,,12 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC 12V Electric Car SUV Heater Heating Fan Cooling Defogger Defroster Demister,32.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Unbranded,,,,,,,,,,,,,12 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150W Portable Heater Heating Cooling Fan Defroster Demister for Car Truck 12V,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,Does not apply,,,,Does Not Apply,,Unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1pc of 12V Fast Heater Cooling Fan Demister Defroster+Bracket,12v,150w,black and gray,Cigar lighter,Heater*1+Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Dimplex Connex Multi Zone Wireless Heat Controller CX-MPC,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,781052081765,,,,,,Metal,Dimplex,,,CX-MPC,,,"9""",,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connex,Heaters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
