Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Colour,Custom Bundle,Modified Item,Item Depth,Item Width,Energy Efficiency Rating,Material,Tank Capacity,Power Source,Type,Features,Operating Sound Rating,Energy Efficiency Ratio (EER),MPN,Mounting Location,Item Length,Area Covered,Number of Heat Settings,Power,BTU Heating Rating,Brand,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Tonnage,Color,Rated Voltage,Mounting Hole Distance:,Mounting Hole Size,Size,Cooling Method,Cable Length,Weight,EAN,Country/Region of Manufacture,Air Direction,Manufacturer Part Number,Smart Home Compatibility,Prop65_fl,Item Height,Manufacturer,Prop65Warning,Country of Origin,Year Manufactured,Smart Home Protocol,ISBN,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Energy Star,Perfermance 1,Current Rating,Marke,Rated Power,Mounting Hole Distance,International Availability,Compatible Brand,Compatible Model,Department,Product,Refrigerant,Timer Control,Manufacturer Warranty,Corrugation Length,Heating material,Location,Bundle Listing,Depth,Heater Style,Heating mode,Heating Wattage,Height,Mounting distance dimensions,Recommended Environment,Power Type,Recommended Location,Actual Color,Object Type,Handmade,Item Weight,Temperature Tolerance,Heat Material,Range,Shell Material,Gift,Shipping,Country Of Origin,Package Contents,Wire  Length,Wire width x thickness,Perfermance,Cable length,Product Type,Country of Manufacture,Item model number,Package Dimensions,Warranty,Maximum power,Placement on Vehicle,fit 1,Style,Part Type,OutOfStockControl,Control Type,Energy Rating,Wattage,Wire Length,Item Type,Noise,Feature,Patio Heaters Type,ProductType,Head Material,Pin,Usage,Body Material,Current Amp,inv,select,Kero-Sun Omni 85 I-L Wick,Wick 509,Hole Diameter,Color:,Final Product,Size:,Compatible Product,HeatMate CTN110 Wick,KeroHeat HMN-110 Wick,Measurement (Approximate),Redstone Wick,Resistance Properties,Name,Rated power,Rated frequency,Rated voltage,Applicable area,Control method,Recommended environment,Applicable,Package Included,Power Wire Length,Product color,Product function,Product power,Product size,Product voltage,Power supply,Unit Type,Plug Type,*1. Voltage,*2. Shell color,*3. Length of power cable,*4. Power,*5. Product size,Product Dimensions,Domestic Shipping,California residents,International Shipping,Shipping Weight,Applications 2,Applications 3,Function 1,Function 2,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Is Discontinued By Manufacturer,Non-Domestic Product,Kero-World KW-23B
4220V-600V High Temperature Aluminium Band Heater Plug Ceramic Heater Band ,14.47, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,"Aluminium, Ceramic",,,,,,,220V-600V High001,,,,,,,220V-600V High,,,,,,220 V,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Plug in Personal Heater Compact Design Quick and Easy Heat,17.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,SCH-100,,,,,,,Plastic Casing,NA,Electric,Compact,,,,NA,Wall,,Small Room,2,,2000-2999 BTU,Handy Heater,"Digital, Switch",,,Forced Air/Fan,Unknown,120 V,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Electric Heater Space Desk Fan Office Home Desktop Winter Warmer Portable,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,ABS + Electronic Component,,,,,,,Does not apply,,,,,,,Unbranded/Generic,,,,,,,Does not apply,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini Heater,≤50db (around 1 meter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50% OFF BRAND NEW Handy Heater Pure Warmth!,20.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Ceramic,,Electric,Portable Heater,Auto Shut-off,,,HEATPW-MC4,"Desk/Tabletop, Floor",,,3,1001-1500 W,,Handy Heater,Digital,,,Radiant,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Stars,,,,,,,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater Fan Adjustable Thermostat LED Display 900W Timed Radiator,18.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Ceramic,,"Electric, Fan",Portable Heater,Auto Shut-off,,,Does Not Apply,Desk/Tabletop,,,,,,Unbranded,,,,Forced Air/Fan,,110 V,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Electric Heater Space Desk Fan Office Home Desktop Winter Warmer,12.63,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,ABS + Electronic Component,,,,,,,Does not apply,,,,,,,Unbranded/Generic,,,,,,,Does not apply,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini Heater,≤50db (around 1 meter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Heat Smart LIBERTY Infrared Heater Remote Control LTP322 ,19.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Heat Smart LIBERTY LTP322,,,,,,,Aluminum,,Battery,remote,,,,LTP322,,,,1,,,Heat Smart LIBERTY,,,,,,,Does not apply,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DYNA GLO- RMC-95C SERIES C2,C4,C6,C7,C8 KEROSENE HEATER WICK/IGNITER TUNE-UP KIT",19.99,343 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,DYNA GLO 95 SERIES/ 32225,,,,,,,,,Kerosene,Portable Heater,"Portable, Vent Free",,,32225,,,,,,,World Marketing of America,,,,,,,01320432250,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone * Multi-Purpose Portable  Compact Ceramic Heater * Fan-Forced Heat,18.95, , ,,,Comfort Zone CZ446,,No,,,6 in,,,,,Portable Heater,Auto Shut-off,,,,,9 in,,,1001-1500 W,,,,,,,,,0075877003652,,,,,,,,,,0075877003652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC12V Car Vehicle Ceramic Heater Heating Cooling Fan Defroster Demister Defogger,18.67, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Yes,,,,,Plastic,,,Heater,,,,Does Not Apply,,,,,,,Unbranded/Generic,,,,,,,Does not apply,,Black,,,,,,"1.2m / 47.24""",,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years,150W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180° Ceramic 200W Car Heater 12V/24V Vehicle Heating Cool Fan Defroster Demister,18.85, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,Heater,,,,Does Not Apply,,,,,,,Unbranded/Generic,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175x225MM 100W 12V Silicone Heater Heated Bed Plate Heating Pad Waterproof,17.24,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does Not Apply,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Portable Ceramic Space Heater Model CZ442 1500 Watts,16.0,30-day returns,"['Heated a quite large travel trailer in no time at all.  Got too warm so nice feature having the thermostat.  Should be able to keep the trailer warm when the ""real"" winter in Michigan sets in, and temps drop quite low.Plugged into the existing wall outlet in the trailer, no problem.', 'I would highly recommend this product.  For being so small it heads a entire story of our home within minutes.  We have a 2 story, 3000 square foot home and we can comfortably heat the whole house with 3 of these heaters. We spend pennies a day to keep our home nice and toasty.', 'Save electric work well in small office and easy use in adjustable use in fan, heat in low or high button.', ""Small size but puts out a tremendous amount of heat!   Light weight, easy to carry from room to room.   Adjustable heat settings!    We use it to heat up the bath for my husband's shower so you do need to supervise and make sure there is NO contact with water.   Very happy with this purchase!"", ""I needed a small but ceramic heater for my bedroom to keep my birds and small animals warm. I can set it on the low setting and it keeps everything warm and cozy. It's great for the price as well as the size. Very happy."", 'This is a great little heater. It works really well. Heats up a small room like a bath room very well. ', 'Awesome quality and doesn’t overheat. Has a “shut off” button at bottom if it gets knocked over.', ""This heater provides for nearby heat and is effective in a small room.  It's quick and does raise the level of heat quickly but is noisy and somewhat distracting if you are listening to a tv in the same area.  Worth the money "", 'Excellent heater I work with tower crane and this heater is excellent to keep my cab with good climate control and don’t take much space in my tower crane cab', 'It works really well and it heats up my room real good worth it for the price.']",,Coil,Comfort Zone CZ442,,,,.,.,,Ceramic,.,Electric,Portable Heater,N/A,None,.,CZ442WM,Desk/Tabletop,.,501-550 sq ft,Variable,1001-1500 W,Less Than 2000 BTU,comfort zone,Dial,Copper,A+++ - D,Forced Air/Fan,N/A,120 V,Does not apply,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Film Ceramic Heater 12V 24V 220V PTC  Air Fan Thermostat Constant Plates,17.95,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Electric,001,,,,4.4 cm,4 cm,,Ceramic,N/A,Fan,Patio Heaters,Stocked,N/A,N/A,Does not apply,Desk/Tabletop,4.4 cm,N/A,1,12V,N/A,Unbranded,Analog/Mechanical,Stainless Steel,A+++ - D,Patio Heaters,N/A,12 V,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stocked,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUN-AIR-GLOW US-9-5, US-11-5  KEROSENE HEATER Wick & Igniter TUNE-UP KIT & BONUS",16.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,KEROWORLD,,,,,,,,,Kerosene,Kerosene Heaters,"Portable, Vent Free",,,28030,,,,,,,World Marketing of America,,,,,,,013204280307,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front Heater Cooler Dryer Fan Defroster Demister Portable Heating 12V 150W Acc,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,Plastic & Metal,,,regular,Allows you to defrost your windows quickly.,,,Q0EYMJI4MQ,,,,,150W,,beler,,,,,,12 V,Does Not Apply,,Black,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,China,,,,,Front,for universal,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F271158-12 Propane Acme Flexible Pigtail Hose Assembly 12 L in.,18.94,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Mr. Heater,,,,,6.00,,Brass and Plastic,,,Hose Assembly,,,,,,8.00000,,,,,Mr. Heater,,,,,,,089301158122,,Black,,,,,,,,,,,F271158-12,,Y,9.00,MR. HEATER,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Plug Connector Ceramic Temperature Band Heater Plug 2 Pins Connector  ,,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,1961549027,,No,,11 in,See Picture,,"Aluminum, Ceramic",1 gal or Less (5 L),Electric,Electric Water Heater Parts,"Auto Shut-off, Timer",None,3 or Less,1961549051,"Baseboard, Wall",See Picture,100 sq ft or Less,1,Less Than 10 W,None,Unbranded,"App Control, Digital",Stainless Steel,A+++ - D,Boiler,None,220v-600v,371807480433,20 tons or Greater,Silver,,,,,,See Picture,,,China,1-Way,,"Amazon Alexa, Universal",,,,,,2021,"Clear Connect, HomePlug",,,,,,,,A+++,,10.1-15 A,,,,,,,,,"R-11, R-12",15 min,Other: See Item Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic,2 pins,Connector for Band Heater,Aluminium,35A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater HEAT-MC12/4 Plug Outlet Speace Heater Tested,19.99, ,"['I purchased this heater for a very specific purpose. I needed a small heater to dry out a wood window sill for a window located in a bathroom shower (long story). This heater satisfied all of my requirements which included: small enough to fit in the space between the storm window and double hung window, generate enough heat to dry the space without over heating, have a thermostat, and operate continuously for a prolonged period of time. I have not had any problems operating this unit on a heavy duty extension cord (not recommended in instructions). This unit will automatically turn on and off as it reaches the temperature you set for the unit. It produces just enough heat to satisfy my need. Criticisms regarding the 12 hour time limit can be resolved by plugging this unit into a timer. When the power is shut off and then back on, the unit will run again for 12 hours intervals solving the problem of having to be present to restart the unit. This unit must be suspended to prevent blockage of the air intake located on the bottom of the heater.', ""Quality feels good, not cheap. Plug rotation feature is secure and not wobbly or junky at all. Heater pulls 297 watts when running, but pulls ~750 watts for about 30 seconds when you turn it on from cold. This is a powerful little heater, you would not want to put your hand directly in front of it for very long. Definitely enough to heat a very small space like a car, or heat up a small room which isn't quite warm enough. Has a thermostat which works well. The heater will run the fan for a bit and cycle down just as it should. It has a red LED which always stays on and give the impression of a hot surface so that you don't forget that the grill could still be hot.The heater sucks air in from the bottom where the fan is.Honestly, this thing has better construction and features than most space heaters I've owned.Cannot yet speak to reliability but based on the good circuit design it should last quite a long time."", 'We have an L shaped bath room and the  baseboard heater is on the long side. On cold days the far corner of the short side gets cold.  This gadget is perfect, set temperature and  shave in comfort. easy to use, takes no space. I saved about  $1200 by not adding another baseboard floor heater when  a $12 heater is perfect.  Kudos to the designer for a great product !!Ol George', 'I wanted this for a very small seedling starter greenhouse but will be unable to use it as it shuts off after 12 hours.  Also when you turn it back on it starts at 90 degrees.  You have to reset the temp and timer every time you turn it back on.  I also bought one for my daughter to use in her tack room for two barn cats but she is also disappointed because of the 12 hour turn off feature.  Only useful if you are there to turn it back on and reset every 12 hours.', 'While this thinks key feature is size, It works well.  Unfortunately the the other plug in a two receptacle outlet cannot be used while this is plugged in.  It blocks the free receptacle partially enough to render it non-usable. It does produce some small fast heat to a rathed general localized area. Is it worth $20.00?  Yes if you will use often, no if you dont require the convenience of it.  Cheaper and more effective heaters are available, its really based on the buyers preference and intended use.  Works great for heating up bathroom when done with showering.  I would reccomend this if you find yourself seeing it  be applicable in a scenario.  ', 'This is a great heater for a small area.I plan on using it for a walk in closet that seems to not get heated very well.I can turn this little guy on for five minutes or so and the problem is solved', 'Better than i expected because the plug works both ways into the outlet, this is good 4 me cause all my outlets are upside down &amp; heater has timer , &amp; low &amp; high..  compact &amp; small, low price i really thinks thats great.  Thx.', 'I love the fact that these heaters have a ground connection.  The third pole helps stabilize the heater in the socket and keeps it from leaning and possibly falling out, like the socket heaters with only two poles.  They are great for a small room like a bathroom. ', ""It is very small but it put out some nice heat for it's size.  I like the thermostat feature so it goes off when it gets to that temperature.  "", 'I’ve given 5 of these as gifts. They are perfect for a bathroom or office or reading area. They are powerful but only heat a small area. Buy using it in the morning by my chair while I read the paper or file paperwork I do not have to turn up my furnace. I can pre heat a bathroom when it’s below zero outside and avoid freezing the second I step out of the shower!Not intended to warm large rooms. ']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Handy Heater HEAT-MC12/4,,,,,4x6x3 in,,Plastic,,Electric,Ceramic,Indoor,Low,,HEAT-MC12/4,"Garage, Wall, Wall,Garage, Compact",,"250 Sq. Ft, 250sq ft",1,350W,,Handy Heater,"Digital,Touch,Switch, Switch, Push Button, Digital, Touch",,,Radiant,,120V AC 60Hz,0609786668352,,Black,,,,,,,,,,,,,,,,,,2018,Fan,,,,,,,,,,,,,,,,,,,,12hr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M30884 Fan  7 3/8"" Diameter Desa, Ready Heater, Master, Remington Heater",18.0,25 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,M30884,,,,,,,,,Kerosene,,,,,M30884,,,,,,,Desa,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250mm X 90mm 12V Silicone Heating Pad Car Fuel Filter Air-Diesel Heater Mat,15.68,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Silicone&Alloy,,Electric,Silicone heater pad,"Adjustable Height, Digital Display, Mini, Portable",,,Does Not Apply,Desk/Tabletop,,,,,,Unbranded,Switch,,,,,12V,Does not apply,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x Silicone heater pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado VH5 Personal Vortex Space Heater 375W/750W (Open Box), , , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Vornado vh5,,,,,,,,,Electric,Portable Heater,,,,EH1-0133-06,"Desk/Tabletop, Floor",,,2,,,Vornado,Rotary Knob,,,Forced Air/Fan,,,043765011935,,Black,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Heater Dryer Heating Cooling Fan Windshield Defroster Demister Use,16.30,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,Plastic & Metal,,,regular,Allows you to defrost your windows quickly.,,,Q0EYMJI4MQ,,,,,150W,,Unbranded/Generic,,,,,,12 V,Does Not Apply,,Black,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,China,,,,,Front,for universal,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ798BK Deluxe Milkhouse Utility Heater w Fan Black,18.95, ,"[""While the product appears to be well-made, the utterly anemic airflow from the under-powered 2-blade fan means that only things within about 2 3' are going to actually get warm anytime soon after turning this thing on, even at the highest setting.  As a fan, it is a complete joke. The much smaller heater that died and that this one replaced put out at least twice as much useful heat, moved a lot more air, and would project it a solid 6' or more!  This heater is nice-looking, sort-of, if you like louvers, but is functionally inferior relative to it's size and stated wattage.  Thankfully, the bathroom I bought it for is very small and it is almost enough to do the job of warming the room during a shower, even if it isn't up to the task of warming up any significantly-sized space or room, such as a bedroom, unless left to run for an hour or more. I will not be buying another one like this."", ""What can you expect from any heater?Heat and easy to use, PLUS GOOD PRICE.With that said, WHY would you buy a plasticCase heater. It it gets too hot? IT MELTS.So they really control output. With a metal case heater. They control QAULITY. Much much better heat output, made to last more than 1 year. This will be my 7 th metal heater in 20 years. The company that made them. Replaced 4 of them FREE AND SHIPPING.when you find something that's last,price,material made. You would to stick with it. RIGHT?.  With that said !!! I WILL NEVER BY A PLASTIC HEATER. !!!!!"", 'What a great little unit for a great little price. Love the ability to switch to low wattage. Easy on the generator heated the room quickly great quality', 'Control knobs are difficult to manipulate. Very tight so not recommended for anyone with arthritis. Other than that, this is a well designed and effective item. Would be much better if the knobs had some kind of wings or tabs on them.', ""I like this type of heater. They heat the house well. It's not cold enough yet to turn the pellet stove on so I use these and they keep the house at a comfortable temperature."", ""I use it as supplemental heat in an RV with thin walls. It does pretty well. It's not the most well built heater I've ever had and I had to tighten all the screws to keep it from being noisy (frequency of the fan made it vibrate a bit), but it heats well enough and the fan is pretty powerful.  It is louder than most though, but acceptable."", 'This heater works great.  Very quiet.  Very happy.  Highly recommend.', 'very good room heater, thermostat control for room comfort. it will actually keep 2 rooms warm, looks good operates easy keeps me warm.', 'i like that you can adjust between 1300 and 1500 watts and also has a adjustable thermostat. The fan is not very strong and wish it blew a little harder', 'Pro: Sturdy and puts out the heat. Con: Hard to dial in to one temp range. One morning I was cold and it stopped coming on. The thermostat dial is nearest the floor! You have to pick it up, press the button with your knee and adjust it. I hate shipping stuff back.']",,,Comfort Zone CZ798,,,,,,,Chrome,,Electric,Portable Heater,,,,"125038, CZ798BK",,,,1,,,comfort zone,Switch,,,,,120 V,0075877125385,,"Gray, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
