Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Type 1,MPN,Colour,Size,Air Direction,Cable Length,Weight,Product Name,Temperature,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Origin,Perfermance 2,Application,Cover material,Lead wire,Perfermance 1,Number of Cool Speeds,Compressor Type,Compatible Brand,Compatible Model,Department,Final Product,Item Height,Manufacturer Part Number,Product,ISBN,EAN,Tonnage,Bundle Listing,Mounting Hole Distance,Mounting Hole Size,Product Size,Product Weight,Rated Power,Rated Voltage,Wire length,Bracket size,Suction cup length,Location,Current Rating,Package Contents,Temperature Tolerance,Heat Material,Range,Shell Material,Wire  Length,Wire width x thickness,Perfermance,Country of Manufacture,Object Type,Height,Handmade,Product Type,Modified Item,SKU,Recommended Environment,Control Type,Energy Rating,Normal temperature resistance,Country of Origin,Gear position,Timer,Temperature setting,Modes,Dimension,Net Weight,Gross Weight,Cooling Method,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Style,Heating Wattage,Recommended Location,Heater Style,Personal Heater,Energy Efficiency Rating,Operation Method,Mounting Hole Distance:,Cooling System,Corrugation Length,Heating material,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word,Key Word 2,Key Word 3,Key Word 4,UPC/GTIN Code,Mor Electric Heating SKU,Refrigerant,Rod Size,Wire Material,Wire Sleeve Material,Lead Length,Rod Material,Plug,Wind Mode,Unit Type,Plug Type,Diameter of installation hole,Distance of installation hole,Product dimension,Rated power,Suitable room,Working voltage of fan,Bundle Description,Function3,Function4,Function5,Function6,Function7,Function8,Power Mode,Volume,Certification,Colors,Function,Function1,Function2,Finish,Category,Candle Power,Fuel Type,Shank Length,Units Per Consumer Unit,Chain Length Size,Shackle Diameter,Fluid Ounces,Breaking Strength,Shackle Clearance,Assembled Product Weight,Maximum Temperature,Count,PPU Quantity of Units,Cold Crank Amp,Filter Life,Price Per Unit UOM,Power Type,Beam Spread,Items Included,Home Decor Style,Product Identifiers,Dimensions,Reserve Capacity,Maximum Motor Speed,Receiver Compatibility,Rated Load Capacity,Count Per Pack,Amps,Drop Distance,Theme,Rated power:,Certification:,Applicable Area,Programmable Timer,Air Volume,Idle Speed of Fan,Display Screen,Set Temp,Frequency,Heater Type,Non-Domestic Product,Hole Diameter,Dimension(L*W*H),Insulation,Use,Area Heated
Mr. Heater F273699 Fuel Filter for Portable and Big Buddy Heaters,22.44,50 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Mr. Heater,,,,4.15,,Steel,,,,,,,,Gray,,,,,3.00000,,,,,Mr. Heater,,,,,,,,089301736993,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,F273699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Heater,0.60000,Y,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Wick AW-33 Kerosene Heater Wick Fits: Toyokuni 80EGQ, 80-EA 4 Total",24.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Kerosene,,,,,,,,,,,1,,,,American,,,,,,,,0019944110331,,AW500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil Personal Indoor Ceramic Mini Heater Mint New 250W Free Shipping,22.88,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MH-08M,,,,,,Ceramic,,,Electric,Ceramic,"Automatic Shutoff, Cool-to-Touch, Mini, Tip-Over Safety Switch, Overheat Safety Fuse",,,Mint,,,,"Tabletop, Under Desk",,1,,,,Soleil,,,,,,,120 V,815900020740,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Indoor,,,,,,,,,,,,,Soleil,,,,Vintage/Retro,250,Indoor,Ceramic,Electric Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKCO Heat Stream Cooking Grate Mr Heater BIG BUDDY Propane Heater WARMING PAN,24.99,36 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Propane,,,,,Yellow,,,,,,,,,,Lakco,,,,,,,,082828180157,,HSGRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Practical Silicone Heater Pad 100W 12V 1pc Accessory For Engine Block Tanks,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Silicone,,,Does Not Apply,Heating Pad,,,,As pictures show,,,,,,,,100W,,Unbranded,,,,,,,12 V,Does not apply,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x Heating Pad + 10x ties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine elements Small Quiet Portable Electric PlugIn Fan Heater Small Room Heater,17.99,47 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,none,,,16 in,none,,Copper,,1 gal or Less (5 L),"Electric, Fan",Portable Heater,Timer,,,,2000,Standard,3 or Less,Floor,none,2,11 - 20 sq m,1501-2000 W,2000-2999 BTU,Fine Elements,,Analog/Mechanical,Steel,A+++ - D,Convection,Less Than 80%,240 V,,,does not applyNEW Fine elements Small Quiet Portab,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056273496854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/120W Ceramic PTC Car Fan Air Heater Constant Temperature Heating Elements,24.91,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,air heater,,,,,,,,,,,,120W,,unbranded,,,,,,,12V,Does not apply,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 *PTC air heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/120W Ceramic PTC Car Fan Air Heater Constant Temperature Heating Element,24.91, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,air heater,,,,,,,,,,,,120W,,unbranded,,,,,,,12V,Does not apply,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,1 *PTC air heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V 120W Ceramic PTC Car Fan Air Heater Constant Temperature Heating Element,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,air heater,,,,,,,,,,,,120W,,unbranded,,,,,,,12V,Does not apply,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,1 *PTC air heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil Personal Ceramic Mini Heater 250W Indoor RED Model MH-08R,23.55, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Ceramic,,,,Portable Heater,Mini,,,Red,,,,Plug In,,1,,,,Soleil,,Push Button,,,Forced Air/Fan,,,815900020733,,MH-08R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Thermostat Aluminum Heating Element Constant Temperature PTC Heater 2pcs ,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Heating Element,,,,,,Aluminum,,,,Electric Water Heater Parts,,,,,,,,,,,,,,Unbranded,,,,,,,,,,Heating Element,,25x20x5mm,,,,PTC Heating Element,70/100/120/150/180 degrees,About 10cm,For heating air or solid,"PTC heater for yoghurt machine, bottle warmer",Widely used in hair crimping iron or straighten...,"PTC heating element is high reliability, long s...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F273699 Fuel Filter for Portable and Big Buddy Heaters,22.44,50 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Mr. Heater,,,,4.15,,Steel,,,,,,,,Gray,,,,,3.00000,,,,,Mr. Heater,,,,,,,,089301736993,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,F273699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Heater,0.60000,Y,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Desk Heater honeywell,25.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,,,,,,,,,,,,,,,,,,Honeywell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Wick AW-33 Kerosene Heater Wick Fits: Toyokuni 80EGQ, 80-EA 4 Total",24.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Kerosene,,,,,,,,,,,1,,,,American,,,,,,,,0019944110331,,AW500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 30 in - 1,500 Watt Electric Portable Ceramic Heater with Remote CT30750",24.95, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Lasko CT30750,,,,30 in,,Ceramic,,,Electric,Tower Heater,Timer,,8 hrs,Black,,,,Floor,,,,1001-1500 W,,Lasko,,"Digital, Touch",,,,,,,,CT30750,,,,,,,,,,,,,,,,,,,,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil Personal Indoor Ceramic Mini Heater Mint New 250W Free Shipping,22.88,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MH-08M,,,,,,Ceramic,,,Electric,Ceramic,"Automatic Shutoff, Cool-to-Touch, Mini, Tip-Over Safety Switch, Overheat Safety Fuse",,,Mint,,,,"Tabletop, Under Desk",,1,,,,Soleil,,,,,,,120 V,815900020740,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Indoor,,,,,,,,,,,,,Soleil,,,,Vintage/Retro,250,Indoor,Ceramic,Electric Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKCO Heat Stream Cooking Grate Mr Heater BIG BUDDY Propane Heater WARMING PAN,24.99,36 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Propane,,,,,Yellow,,,,,,,,,,Lakco,,,,,,,,082828180157,,HSGRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500W Portable Electric Ceramic Heater CZ442 (Black),25.0, ,"['This little guy has been a work horse.  I am online tonight buying a second one for the bathroom.  It has two settings, low and high, which is convenient.  Any movement forward or backward shuts it off, a super safety feature for my pets.', ""Has a safety feature and was perfect for my kids. Works better than expected and shipping was so quick. They were very kind. I'm satisfied."", 'This heater heats my bathroom, but it is so ""tiny"" and light weght, I\'m afraid it will easily be pulled, pushed or knocked over. I won\'t use it because of this. I didn\'t ask because I can never imagine a heater being so small. I take full responsibility. The service was excellent!!!', ""Pro: Small,\xa0light and cheap. No Con. I’m heating a 12’ x 6' x 6’ trailer and it is just perfect. You can set this at a temp and it holds it close to that."", ""This little heater is one of the best I've ever owned... The ceramic element generates Lots of heat for such a tiny unit, and the well placed little fan Throws the Heat About 6 Feet Out before it dissipates. I had the SAME Company's NON-Ceramic heater and IT DOESN'T EVEN COMPARE.  This little heater is so Awesome, I can't even give it proper Kudos and Accolades here... If you want a cheap space heater THAT KICKS LA BOOTY,.... I HIGHLY recommend this product.........   OH - P.S. - run it on MEDIUM SETTING.... the High setting is So Hot that it cuts off every 10 seconds.... the Medium setting with the Thermostat all the way up will blow and blow and blow Heat. . . . . . . . . . Enjoy ! ! !"", 'Very quick heat for such a small heater!! Great Product, seems very dependable! Easy to store..............Thanks', 'I had had one of the little heater for over 10 years and am ordering a new one to replace it. This is a compact heater that puts out a lot of heat. The high setting can be too much at times, but there is a low setting and has a heat adjustment control that hold temps very well', ""Received 2 heaters, they arrived in very quick time. Well packaged, hopefully I won't need to use them but the way the weather has been getting it looks like it's going to be a cold one. Thanks for the rapid shipping and the great price."", 'Small and compact mighty joe young unit love it thanks', 'My girlfriend keeps it on her side of the bed and says it works perfectly at keeping her warm. While in the meantime I can barely feel it on my side (unless she really turns it up) which I love. I prefer to have a fan blowing on me.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Comfort Zone CZ442,,,,"15.25in., 15.25 in",,Ceramic,,,Electric,Fan Heater,Handle,,,Black,,,,Desk/Tabletop,,2,Small Room,1500W,5120,comfort zone,,Switch,,,Forced Air/Fan,,,0075877004420,,CZ442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, Fan Heater,Personal Mini Space Heater Portable Electric Heaters",,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,,,,,,,,,3 W,,Unbranded,,,,,Convection,,5 V,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V 120W Ceramic PTC Car Fan Air Heater Constant Temperature Heating Element,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,air heater,,,,,,,,,,,,120W,,unbranded,,,,,,,12V,Does not apply,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,1 *PTC air heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V 200W Portable Office Heater Mini Electric Heater Electric Home Heater Fan,18.99,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Steel,,,"Electric, Fan",Portable Heater,,,,Black,,Standard,,Desk/Tabletop,,,,201-300 W,,Unbranded,,Switch,,,Heat Pump,,220 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70W PTC 12V Car Fan Air Heater Constant Temperature Heating Heaters Supplies,,25 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Car,Portable Heater,,,,Black,,,,car,,,,70W,,Unbranded,,,,,Motor,,12 V,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approx. 4mm / 0.2inch,,,,12V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approx. 87mm / 3.4inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Portable Furnace 1500W Ceramic Heater NTK15A,25.0, , ,,,Pelonis NTK15A,,,5 in,6 in,,Ceramic,,,Electric,Portable Heater,,,,White,,,,Desk/Tabletop,8 in,2,101-150 sq ft,1001-1500 W,5000-5999 BTU,Pelonis,,Rotary Knob,,,Furnace,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ35 1500 Watt Portable Heater with Thermostat White,24.89, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,CZ35,,,8.4 in,5.5 in,Amazon Alexa,Plastic,,,Electric,Fan Heater,"Portable, Thermostat, Power Indicator, Cool-Touch Exterior, Overheat Protection",HomePlug,15 Minutes,White,2018,Standard,3 or Less,"Baseboard, Cabinet, Desk/Tabletop, Floor",,1,751-800 sq ft,1001-1500 W,Less Than 2000 BTU,comfort zone,,"Analog/Mechanical, Rotary Knob, Switch",Brass,,Forced Air/Fan,Less Than 80%,120 V,0075877125361,,CZ35,,HEATER FAN Compact,1-Way,72in.,,,,,,,,,,,,,,,,,,,,,,,,,,10.4 in,,,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kloudic Personal Electric Heater KD-QN02,24.99, , ,,,KD-QN02,,,,,,,,,Electric,Electric Heater,,,,Black,,,,,,,,,,KLOUDIC,,,,,,,,Does not apply,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
