Title,Price,Sold,Reviews,Condition,Model,Type 1,Material,Type,MPN,Brand,Voltage,Size,Color,Mounting Location,UPC,Marke,Annual Fuel Utilization Efficiency (AFUE),Gas Consumption (kg/h),Gas Type,Ignition Device,Overheat Cut-Off Temperature,Supply Pressure (Mbar),EAN,Power Source,Item Length,Colour,Heating Element Material,Control Style,Heating System,Item Width,Power,Manufacturer Part Number,Manufacturer,Item Height,Item Weight,Number of Heat Settings,Smart Home Compatibility,Area Covered,Features,Smart Home Protocol,Operating Sound Rating,Heating Element Format,BTU Heating Rating,Energy Efficiency Ratio (EER),Item Depth,Tank Capacity,Power/Fuel Type,Indoor/Outdoor,Product Weight (lb),Amperage (amps),Room Size,Product Width (in),Portable Heater Features,Cord Length (in),Area Heated (Sq Ft),Wattage (watts),Heater Type,Certifications and Listings,Product Height (in),Color Family,Portable Heater Safety Features,Heater Controls,Voltage (volts),Product Depth (in),Year Manufactured,Air Direction,Cable Length,Assembled Product Dimensions (L x W x H),Assembled Product Weight,ISBN,Energy Star,Timer Control,Binding,Returns,Country/Region of Manufacture,Custom Bundle,Refrigerant,Tonnage,Manufacturer Warranty,Current Rating,Unit Type,Power Type,Recommended Location,manufacturer_part_number,BTU Cooling Rating,Bundle Description,Energy Efficiency Rating,Number of Cool Speeds,Product Type,Noise,Wind Speed,EC Range,Heating Method,Item Dimensions LxWxH,Recommended Environment,Room Coverage Area,Heater Style,Width,Heating Technology,Height,Manufacturer Color,Prop65_fl,Prop65Warning,Location,Modified Item,SHIPPING,RETURN,ITEM LOCATION,International buyers,PackQty,Vehicle Type,Heat Type,Style,Color/Finish,Housing Material,Fuel Type,Assembled Width (in),Cord Length (ft),Assembly Required,Assembled Height (in),Heating Area (sq ft),Outdoor Living Product Type,Assembled Depth (in),Total BTU,Patio Heater Type,Shipping,Tax,Item Location,Quantity,Country of Origin,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Heating Wattage,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Vented,Heat rating (BTU/hour),Heating Technology Type,Weight,Hight,Product Name,Thickness,Modification Description,Model No.,Product Length in inches,Product Width,Product Height,Product Weight in pounds,Materials,product_height_in,product_depth_in,heater_controls,automatic_shutoff,installation,wattage_watts,heater_type,certifications_and_listings,timer_included,color_family,anti_freeze_setting,indoor_outdoor,acli_safety_plug,number_of_heat_settings,heating_technology_type,remote_control,product_width_in,power_fuel_type,thermostat,heating_product_type,accessories_included,heat_rating_btu_hour,pack_size,amperage_amps,voltage_volts,oscillation,product_weight_lb,Heating BTU,Length,SKU,Application/Usage,Form Factor,Product Model,Heating Element,Maximum Heat Power,Product Family,Product Line,Item model number,Batteries Required?,Is Discontinued By Manufacturer,Product Dimensions,Is Dishwasher Safe,Department,Import Designation,Number of Pieces,Specification met,Included Components,assembled_depth_in,firebox_depth_in,assembled_height_in,area_heated_sq_ft,total_btu,firebox_height_in,assembly_required,firebox_width_in,heat_output_btu_hour,assembled_width_in,included,Is Assembly Required?,Batteries Required,Sub-Type,Finish,Package,Piece Count,Model Number,Depth,Number of Batteries,Battery Size,Battery Included,Motor Type,Battery Capacity,Battery Life,Configuration,International Availability,Produktart,Heizsystem,Leistung,Montageort,Stromquelle,Spannung,Steuerungsart,Anzahl der Heizstufen,Farbe,TAX,Customer Service,Handling Time:,Questions,Number of Items In Set,UPC/GTIN Code,Mor Electric Heating SKU,Pack Size,ItemPackageQuantity,Number of Shelves,Number of Drawers,Seat Depth,Seating Capacity,Firmness,Set Includes,Number of Items in Set,Load Capacity,Stove Type Compatibility,Installation,Product Lot Quantity,Shipping Weight,Global Brand License,Home Decor Style,Is Electric,Is Pet Friendly,Variant Group ID,Theme,Price Per Unit UOM,Count Per Pack,Number of Burners,Is Portable,Is Primary Variant,Recommended Room,Count,Age Group,Actual Color,Gender,Is Assembly Required,PPU Quantity of Units,Mount Type,Variant Attribute Names,Multipack Quantity,Compressor Type,GTIN,Number of shelves,Stove Type Compability,Product,Wattage,Item Package,Warranty,Dimensions,NumberOfItems,MaterialType,Agency Compliance,Watts,Heat Output,Binding Size,Fragrance Name,Country of Manufacture,Scale,Connectivity,Playable Media Format,Volume,Chipset Manufacturer,Screen Size,Compatible Brand,Chipset/GPU Model,Processor,Storage Capacity,Case Size,Band Material,Battery,Maximum Resolution,Display Technology,Mount,Internet Connectivity,Bundle Listing
LifeSmart KUH25-01 4-wrapped Element Infrared Heater W/usb Charging (kuh2501),101.79,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Other Consumer Electronics,kuh25-01,LifeSmart,,,,,810078860341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLonghi Comfort Temp Full Room Radiant Heater ,100.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KH390715CM,,,"Portable Oil Filled Radiator, Radiator",KH390715CM,De'Longhi,120 V,,Gray,,0044387397155,,,,,,,,0044387397155,Electric,,,,Analog/Mechanical,Radiant,35 in,1500 W,,,,,3,,Under 150 sq ft,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 755320 Ceramic Space Tower Heater 8.5″L x 7.25″W x 23″H Silver,101.28,30-day returns,"[""Had one of these for several years to heat an office work space in my home. Did a great job.  Wanted another small heater for another room on another floor so i didn't have to carry the one I had up /down stairs. Decided to get another Lasko  similar to what i had, rather than risk another brand/model. This Lasko is  reliable, heats quickly, has auto off and an oscillation feature. All pluses and it's light weight.  Can't say it's energy efficient. No small electric heaters are. Heater arrived quickly.  Several days before the targeted delivery date. "", ""With the high cost of propane,  I was looking for a way to help cut some cost. I bought two heaters. The other one is already in storage, (does not work nearly as good as this unit). So far our coldest day has only been down in the mid 30's. With this heater, until it dropped that cold, our Propane hed never needed to kick on once. This is a GREAT Little Heater for Full Time RV'ers, or anyone whom wants to cut down there gas/propane heating bill. Were due to start getting colder weather, So I am now looking for a second heater to help the one we have to heat our 33 foot 5th wheel RV. "", 'This heater is quiet, has hi and lo settings.  Unlike some heaters, As far as I can tell, it does not have an automatic shut off when it tips over, which is a nice safety feature. I have had another Lasko heater for several years, and it has been dependable.', 'I now own 3 of these heater and love them. I live in a rural area with propane being my main source of heat, but I installed solar making electric heat cost effective. I run these in rooms we occupy instead of using propane to heat in needed areas. The on-off range of these heaters is about 3-4 degrees. The run very quiet to the point they are quieter than our tower fan that we use in the summer. Great product and now to see how long it will last.', ""This is the second one of these I have purchased.  I purchased the second because I was so impressed with the features and functioning of the first.  It has a remote (I haven't even used), on-off timer up to 8 hours, one direction or variable direction heating and most important, an accurate thermostat control.  I first started using the original purchase to keep my garage above freezing during low temperature cold spells.  That showed me what a great functional heater this was for any area of the house where additional heat is required."", ""I'll know in a month if this unit is truly energy efficient as I've been using it more than my furnace in the evenings.The only complaint I have is the thermostat may not be accurate. I'll set it for auto shut off when it reaches 70 degrees  but it never seems to get past 67 degrees so it keeps running. When I check the temp on my furnace's thermostat it reads 71 degrees so I know it's heating- just not reaching the correct temp internally to auto shut off.It's relatively quiet and heats a large room up in about 30 mins. or less provided all the windows and doors are closed to hold the heat in. My cats still freak out and won't go near it, especially when it oscillates. Funny stuff!"", ""This little heater is great as a heat supplement for a decent size room (and have actually used it to heat multiple rooms at the same time). Sturdy, safe, and the remote is quite convenient! The internal thermostat can be a little wonky depending if you're opening or closing a bunch of doors, or if people are walking by it constantly, but it straightens itself out fairly quickly. Happy enough with this product that I bought another one for my office!"", ""It's a great heater no question very good quality but I was under the impression it was a fan/heater but there is no just fan feature on it and I know they are made but not this one 😩 as the description of it let me to believe"", ""I love this heater since you can set the temperature you want, light weight for moving and has a remote control for setting the desired temperature. It's just a great heater for bathroom or bedroom and I love it."", ""It's a LASKO first off, and second it's CERAMIC material which is The best to provide The correct amount of heat when set without overheating The Unit at The same time! Third, It comes with A REMOTE CONTROL!. Forth, The Unit OSCILLATES Back, and Forth to heat entire Area, and has The Usual Digital Display on Top of The Heating Unit. The Oscillation can be Set by The Remote as well. PROS: Great Designed Unit. CONS: NONE That I have Found Yet!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko 755320,,Ceramic,Tower Heater,755320,Lasko,120 V,8.5″L x 7.25″W x 23″H,Silver,Floor,0046013768162,,,,,,,,0046013768162,Electric,,,,"Remote Control, Digital",Convection,,,,,,,2,,151-200 sq ft,"Timer, Oscillation",,,,,,,,,,,,,,,,,,,,,,,,,,1999,,300,,,0168141466342,,8 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5586 Digital Ceramic Tower Heater with Remote Dark Grey,101.1, ,"['Very nice heater!  It oscillates back and forth and keeps a pretty constant temperature in a medium sized space.  The remote works well and I am happy with this purchase', 'This little ceramic heater is wonderful!  It is loaded with features including oscillating and has a remote control with it.  It works like a charm very quietly and automatically according to the thermostat control.  I highly recommend this space heater!', ""My office is in the lower level of the house which is naturally colder than the rest of my home. Rather than heat up the whole house to warm this one room this Lasko heater does a terrfic job of keeping me comfortable even on the coldest days.It's quiet, efficient, and just does the job."", 'heats up a room quickly and quietly.... well made verses the earlier models..', 'Took for ever to warm a sun room of 10 x 12, than it didnt even bring it up to 70 degrees, was on most of the day. .  heat output was not that good. Will never purchase anyone. Price was way to much for the quality of how well it worked.', ""Couldn't find a more inexpensive excellent quality space heater. Just ordered another!"", 'Solid model. Quiet does the job well. Worth the buy.', 'Good products. Thanks.', 'I received mine in the mail turned it on only lasted one day and stopped working. Do not recommend this product at all to anyone']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,,,5586,Lasko,120 V,Tower Heater,Gray,,0024070570416,,,,,,,,0024070570416,Electric,,,,"Digital, Touch, Remote Control",Convection,,,,,,,2,,,Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0031111328264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marley QMark MPDS-25 Power Disconnect 3 Pole 25 AMP 600VAC For MHU SERIES HEATER,100.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MPDS25,,Steel,Wall Heater,MPDS-25,Marley QMark,230 V,,Black,Wall,Does not apply,,NA,,,,,,,Electric,NA,,NA,Switch,Forced Air/Fan,NA,NA,,,,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater 9,000 BTU Portable Buddy Radiant Propane Heater",103.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,Does not apply,,,Red,,705353690730,,,,,,,,0705353690730,,,,,,,,,mh9bx,ENERCO GROUP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40 x 8.30 x 15.00 Inches,7.71 V,Does not apply,,,,,,,,,,,,Gas,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado EH1-0135-06 Glide Whole Room Heater, 750/1500-Watt, Thermostat Control -",103.53, ,"['I have had this Vornado Whole Room Space Heater for over a 1 month. It is NOT a hot heat but a warm heat. It tempers the air. Materials were good just not a adequate room heater. It did not do what I expected. It had its pluses but the reason I reject this product is: IT IS NOT COST EFFECTIVE. I got my electric bill and did jump substantially. Cost of operation vs. efficiency is not worth it. I am not condemning this product I was just disappointed.', ""I've bought many electric heaters through the years.......this one seems much better quality than I can purchase in the store and it exceeds my expectations."", 'This HOT Saharan desert wind machine conquers and dominates all that wants to be cold. No one ever needs to be chilled again with a HOT VORNADO Area Heater!', ""Thermostat never quite worked, always shutting off on it's own without tipping over or having anything blocking the heater intake. Now, after 2 months - it's dead. Can't get it to work at all. I was expecting more from an American made product. Sad."", 'This heater is good for a small room 10’x12’, within 15 minutes you can start to feel heat, and it’s a comfortable heat, not something just blowing on you.', 'I live in a basement and this heater warms up my entire basement . Got a great price and I would recommend this to anyone', 'The info on the whole room is not accurate. They need to add sizes if rooms it will heat. Returning for that reason only', 'We liked it so much we purchased a second one.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,n/a,HOME COMFORT APPLIANCES,EH1-0135-06,Vornado,n/a,,,,043765011959,,,,,,,,,n/a,n/a,,,,,10.200,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Kotatsu Heater U Shape Quartz tube Heater 600W MSU-601E (K) From Japan,103.49,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MSU-601E,,,Unit Heater,MSU-601E,Metro,100 V,,Black,,4948309101447,,,,,,,,,Electric,,,,,,29cm,501-600 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Compliant,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko low profile silent room heater with digital display white,100.0, ,"[""I apologize for taking so long to rate your product but it has been great ever since I received it great use it's very quiet just like you said and I love it"", ""Very nice heater. Super quiet! I am using it in what was a screened-in lanai (remodeled into a 4-season sunroom). With all these windows it gets chilly in here at times, even though the room has central heat. This Lasko heater is just the thing to take the chill out of the room. I can't speak to its longevity, as I have only had it a few weeks, but it seems very well made."", 'My only reservation is it is a little on the large side, but it is working great so far.', 'Unit works well.No complaints.Have owned for 2 yearsComes in handy when the furnace sometimes breaks down. Or to take the chill off a basement bedroom.I Would buy again.But remember, it’s electric and the electric meter spins like a top', 'It works great and is silent other than the chirping to let you know the temp is increasing. I need another one. I highly recommend it.', 'I didn’t realize before purchase the top of the heater was metal. Was going to use for my kitchen but not with a toddler running around who could potentially touch and burn their hand. It’ll work best for my basement as I needed something for there too.', 'Sturdy build with great features. However, I wish it comes with a remote then this wold be perfect heater.', 'This was purchased to heat a room whose temperature varied greatly from night to day  It works perfectly, soundlessly, and draft free.  The temperature in the room stays steady at between 68 and 70 just what is needed to grow phalenopsis orchids.  We love it.', 'Ive Had it On 90 Degrees For TWO HoursLess Than THREE Feet In Back Of Me..... In A SMALL Office AreaThats My Shadow In The Photo.And I Felt NOTHING!', 'Thank you very much and have a great day.']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",5622,,"Metal,Ceramic, Ceramic,Metal, Ceramic, Metal","Electric Portable Heater, Baseboard Heater",5622,Lasko,120 V,,White,Portable,0046013763297,,,,,,,,,Electric,,,,"Switch, Switch,Digital, Digital, Electronic, Digital,Switch",Convection,5.5,1500,,,,,1 Heat,,250 to 499 sq ft,"Display, Handle, Timer, Digital Thermostat, 1500W, Thermostat,Timer, Auto-OFF!, Carrying Handle, Digital Thermostat, Display, Timer, Thermostat,Carrying Handle,Timer, Quartz, Adjustable Thermostat, Timer Included, Silent, Remote Control, Overheat Protection, Heater, Silent Operation, Silent,Portable, Handle,Digital Display,Nonslip BASE,Timer,Automatic Shutoff,Tip-Over Safety Switch,Thermostat, Indoor, Portable, Digital Display, Power Indicator, Heating, Tip-Over Safety Switch, Carrying Handle,Thermostat,Timer, Thermostat,Silent,1500 Watts,Auto-OFF!,Portable, Portable,Vent Free, Handle Thermostat Overload Protection Tip-Over Cut-OFF! Switch, Vent Free, for spot heating at home or office,this portable heater is the perfect solution,comes in white color is sure to beautify your room,electric heating - allows immediate relief from th,keep your bedroom comfortable with 1.50 kw heating, Timer Included, Portable,Silent Operation,Thermostat,Timer,Power Indicator,Remote Control,Overheat Protection,Vent Free, Automatic Shutoff,Digital Display,Nonslip BASE,Thermostat",Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Comfort Glow Ashton 4,800 BTU Electric Stove Heater 700 sq ft",101.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",ES4215,,Brass,Unit Heater,ES4215,COMFORT GLOW,110-120/60Hz,,Black,Floor,013204242152,,,,,,,,013204242152,Electric,,,,"Analog/Mechanical, Rotary Knob",Forced Air/Fan,,1001-1500 W,,,,,2,,651-700 sq ft,Auto Shut-off,,,,4000-4999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VORNADO AIR EH1-0020-25 Vortex Heat 2 Electric Heater,103.23, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Baseboard Heater,,Unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5586 Digital Ceramic Tower Heater with Remote Dark Grey,101.1, ,"['Very nice heater!  It oscillates back and forth and keeps a pretty constant temperature in a medium sized space.  The remote works well and I am happy with this purchase', 'This little ceramic heater is wonderful!  It is loaded with features including oscillating and has a remote control with it.  It works like a charm very quietly and automatically according to the thermostat control.  I highly recommend this space heater!', ""My office is in the lower level of the house which is naturally colder than the rest of my home. Rather than heat up the whole house to warm this one room this Lasko heater does a terrfic job of keeping me comfortable even on the coldest days.It's quiet, efficient, and just does the job."", 'heats up a room quickly and quietly.... well made verses the earlier models..', 'Took for ever to warm a sun room of 10 x 12, than it didnt even bring it up to 70 degrees, was on most of the day. .  heat output was not that good. Will never purchase anyone. Price was way to much for the quality of how well it worked.', ""Couldn't find a more inexpensive excellent quality space heater. Just ordered another!"", 'Solid model. Quiet does the job well. Worth the buy.', 'Good products. Thanks.', 'I received mine in the mail turned it on only lasted one day and stopped working. Do not recommend this product at all to anyone']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,,,5586,Lasko,120 V,Tower Heater,Gray,,0024070570416,,,,,,,,0024070570416,Electric,,,,"Digital, Touch, Remote Control",Convection,,,,,,,2,,,Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0031111328264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
