Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,UPC,Color,Air Direction,Energy Star,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Country/Region of Manufacture,Custom Bundle,Modified Item,Manufacturer Warranty,Timer Control,Smart Home Protocol,Year Manufactured,Cable Length,ISBN,Size,Smart Home Compatibility,Refrigerant,Current Rating,Tonnage,Accessories,Form Factor,Indoor or Outdoor,Wattage,Regency Use,Tip-Over Safety Switch,Shipping,Width,Room Coverage Area,Recommended Environment,Heater Style,Heating Technology,Heating Wattage,Height,Manufacturer Color,Part Type,Package Contents,Normal temperature resistance,Country of Origin,Mounting & Moving,Heating Capacity,Heater Type,Unit Quantity,Unit Type,Power Type,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Package,Model Number,Piece Count,Style,Battery Included,Length,Room Size,Indoor/Outdoor,Product Depth (in),Portable Heater Features,Wattage (watts),Color Family,Area Heated (Sq Ft),Heater Controls,Product Width (in),Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Heat Methods,Depth,Heating Product Type,Baseboard Heating Type,Heat rating (BTU/hour),Hydronic,Product Length (in),Heating Technology Type,Vented,Thermostat,Pack Size,globalTradeItemNumber (GTIN),Time Control,Room,Contents of the package,Rated power,Direction adjustment,Power cord length,Compatible Brand,Product Dimensions,Heating Method,Item Dimensions LxWxH,Compressor Type,Item model number,Warranty Description,Assembly Required,Batteries Required?,Number of Pieces,Included Components,Main material,Power input,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Fuel Type,Item,Mount Location,Number of Elements,Origin,Certification,Energy Rating,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,PackQty,Number of Cool Speeds,Country of Manufacture,Product,Compatible Model,Dosage,Book Tittle,Department,Format,Language,Connectivity,Author,Suitable for Safe Rooms,Programmable Timer,Clearance,Application,Certifications,Warranty,Bundle Description,Weight,Finish,Power (W),Heat Output,Gift,Model No.,ASIN,Binding,Studio,ReleaseDate,Publisher,ProductTypeName,ProductGroup,NumberOfItems,MaterialType,Label,PackageQuantity,Use,Cooling System,Product Name,Thickness,Hand Warming Temperature,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Use:,Feature2:,Feature7:,Application:,Feature5:,Feature:,Function 2:,Area Heated:,Button Battery:,Feature3:,Number of Speed Settings:,Feature4:,Feature 6:,Function 1:,Feature8:,Maximum Power,Pattern,Material Care Instructions
Heat Storm HS-1500-PHX-WIFI Infrared Heater Wifi Remote 1500W 120V,69.99, ,"['This wall furnace is made well and works perfect. Select what ever temp you want and when it reaches that it reduces power by 50 %. All automatic. It heats the room over my garage which is all finished and insulated and is 14 x 26. 364 sf. I wouldnt ask 4 anymore than that. Im in the state of Maine. I may need to add another to bring  the temp up quickly but im sure one of these will maintain from that point. For a 104 bucks you cant beat it. Oh and it eather hangs on wall or it has casters you can install. I hung mine and love it.', 'I used this in my insulated 500sq ft garage. Does a great job. In below freezing temps, warms it up to 50 degrees in only one hour. Perfect for just keeping the garage above freezing.', 'I love the WIFI feature and the heat is perfect for my 525sf space', 'I use this heater in a 250 square foot room and it works very well.It was easy to connect to wifi. I would highly recommend it.', 'Had a issue with my unit but they were quick with helping me out and getting things straightened out. Great heater that works amazingly for a great value.', 'Excellent product, easy mounting, works very well for the size', 'These are great little heaters! And at the best price! Looks good hanging on the wall and out of the way. Perfect for a bathroom.', ""i use 2 of these to warm a 2.5 car garage . it does a nice job , quiet , remote control  . temps in NY are in the 30's"", 'It’s a great little heater I put in my fish house/Camper! The remote works awesome too I couldn’t be happy would definitely recommend!', 'This is a great product for the value. Works flawless with my echo and heats up my bathroom perfectly. I would definitely recommend this product.']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Heat Storm,Electric,"Unit Heater, Infrared",Infrared,Wall,,Plastic,2,"Switch, Wi-Fi, Touch",HS-1500-PHX-WIFI,120 V,"Safe to Touch Grill, Wall Mounte, Indoor, Space saving Wall Mount",,1500 W,,,,,,,15.980,"HS-1500-PHX-WIFI, HS-1500-PHX",,,22.010,,,7.480,,,,,0726084376069,White,,,,Heat Storm,10.05,,,,,,,,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opened manufacturer packaging.,HS-1500-PHX-WIFI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reddy heater propane torpedo RLP 30 30,000 BTU Tested, Works Great!",69.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Reddy Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iLIVING Infrared Portable Space Heater Model ~ ILG-918 ~ 1500W 120V ~ 4 Rollers,69.0, , ,,iLIVING,Electric,Portable Heater,Infrared,Floor,,Wood,,,ILG-918,120V,"Adjustable Thermostat, Furniture Graded Cabinet, Castor Wheels",,1500 W,,Infrared,,,,,16 in,ILG-918,,,,None,,,,,,,,Brown,,,,,,,,China,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr Infrared Heater DR-968 Portable Space Heater, 1500-Watt, *READ NOTES*FREE SHP",70.0, ,"[""Pros-outside of unit not hot if you touch it.it's on wheels, cycles on to adjust set temperature, has a remote, has a timer, safety switches ( temp &amp; if it tips over ). Youtube videos on how to repair unit, parts available. Looks nice, immediate heat, does not deplete oxygen like a ceramic heater, you can breath easily.Cons- 1500 watts &amp; 12.5 amps power used. Monitor it when you first use it, a weak or bad electrical receptacle can arc! Your plug or power cord could melt or burn. The risk always exists when you use it. I use to do electrician work long ago, be mindful.Read all instructions thoroughly and completely! DO NOT LEAVE UNATTENDED! I still like to use this heater, in fact I own two of them. Follow all safety warnings, it can be a good heater, don't let your guard down.....be vigilant, be safe, and stay warm. I watch TV with one keeping me warm, and happy."", ""Impressed with quality and many features like holding heat level economically, auto dual fan speeds, easy reading temperature, easy set up and great looking unit. Doesn't even look like a heater, more like a piece of furniture or a speaker for a high end stereo system."", 'I hen purchase several brands of infrared heaters .   Dr. Heater is built solid .  Purchased my last one in 2013.   Warranty is unsurpassed with 3 years .  Most heaters just won’t last .  Also puts our more heat output than a comparable EdenPure .   Good value and great  quality .', 'It is a hybrid infrared.  60% of the heat comes from a relatively new PTC heater.  40% comes from infrared.  It heats the air and objects in the room at the same time.  I have a small home of 1250 sq. ft.  I have three of these heaters at various places and have been able to shut my gas furnace down entirely.  Since they are very stingy on electricity, my monthly heating bill is now much less than it used to be!  I would recommend this heater to anyone without hesitation!', 'My Dr 968 1500 watt heater produces heat rapidly and cycles on and off to keep the temp where it is set.  This small unit has a fan that is barely audible and manages to push the heat away from the heat elements into the room and keep the area comfortable.  Lots of heat in a small package.', 'Well-built unit. Small, unobtrusive, and quiet. Easy to use with control panel or remote control, and the built-in thermostat works as it should. A nice feature is that the unit is on wheels so makes it easy to roll out of the way when cleaning and vacuuming. Takes the chill off my small place quite nicely. Great to use during those in-between seasons before or after you shut down or turn on the heating system. I am very satisfied with this product!', 'I have read a great deal of reviews from others before my first purchase. I have other brand spot heaters in my collection. Trial by error I suppose. Colorado Winters can be brutal at times. I purchased this for my mothers not well insulated home. a living room and a kitchen connected, 630 sq ft. this heater will keep it at a comfortable temp. for her. All at a low setting.Shuts off as it should to measure the heat in the room and comes back on when it needs to.It is supplemental. It will not heat a whole home.My unit arrived with a cracked frame on the top left corner. It works though, that is my main concern.Stays on five hours as i programmed and shuts off. Good Bang for the Buck. 5200 BTU is a great output for this size The fan is quiet when running. You can watch t.v. without noticing the heater on.In my opinion, if these units are used wisely, they are useful and can save a bit of money on your bill. Thumbs up on this unit.........', ""I bought this to use in a bedroom because it was advertised as quiet, and it came with a remote.  It's not that quiet- just a little quieter than your average cheapo space heater.  And the remote doesn't power the heater on or off- just lets the unit go on standby, which is kind of a drag.  The standby light is so bright i wound up covering it with a piece of paper.  Except for the remote, it's not worth the money."", 'Despite the fact that the first heater stopped working after 4 years I purchased another, Reasons: great features, heats area very well, low cost to operate, compact and easy to move around', ""Product arrived extremely quickly.  I'm using it in a sun-room to keep the temperatures steady for two parrots.  Am not able to determine if I am saving money on this product or not running it continuously versus other types of heating methods.  Product works well - happy so far.""]","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Dr. Heater,Electric,Portable Heater,Infrared,Floor,,Wood,,Digital,DR-968,,,,1001-1500 W,,,,,Less Than 2000 BTU,951-1000 sq ft,,Does not apply,,,,,,,,,,,837654715666,Cherry,,,,,,,,,,,,,,,,,Original,,,,,,,,,,,Free Domestic Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLonghi BMU-02 Metalica II 120V-60Hz 1500W Space Heater,69.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",De'Longhi,,,,,,,,,DeLonghi DUH301,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Toastmaster Space Heater Model H-915 works ,65.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Toastmaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Century Yellow FLOWTRON MARK ll 1500 Watt Heater Cooler Tested Free Ship,70.0,7 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",FLOWTRON,"Electric, Fan",Heater • Cooler,Forced Air/Fan,"Desk/Tabletop, Floor",,"Aluminum, Ceramic, Plastic",4,Dial,MKll,750/1500 Watt,,,1001-1500 W,,,,Standard,,151-200 sq ft,7,,,,10,,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGE PATTON FL-60 TURBO BOOST BASEBOARD / Tower SPACE HEATER GRAY GREAT !! ,69.99,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Patton,Electric,Baseboard Heater,Infrared,"Baseboard, Floor, Wall",,Ceramic,Variable,"Dial, Rotary Knob, Switch",DFH-IQH-62-01 600,120 V,turbo boost,,na,Coil,Stainless Steel,100%,None,3000-3999 BTU,551-600 sq ft,6 in,1004348770,na,11 in,33 in,na,A+++ - D,,,,,,Does not apply,Gray,1-Way,Compliant,,,,,,United States,,,,,na,,,,,na,na,,,,,,,,,,,,,Tower,,1500W,,,,,,,,,,,,,,,,,,,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns Air King Heater Fan 12"" Blue Hammertone Industrial Tabletop WORKS",65.0, , ,,Air King,"Electric, Fan",Portable Heater,Forced Air/Fan,Desk/Tabletop,,Steel,1,,,,,,,,,,,,,12 in,,,,,,,,,,,,Does not apply,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvin Three Heat Automatic Heater 1000-1250-1500 watt 30H33 Safety tip shut off,69.49, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","Arvin Industries, Inc.",Electric,Portable Heater,Forced Air/Fan,Floor,,Metal,3,Analog/Mechanical,30H33,120 V,"Safety tip over shut off, quick heat up",,1000-1250-1500 watts,,,,,,,,30H33,,,,,,,,,,,Does not apply,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rival Titan T761 portable utility space heater 1500 watt,69.99, , ,,Titan,Electric,Portable Heater,Forced Air/Fan,Floor,,Steel,Variable,Analog/Mechanical,Titan T761,120 V,,,,,,,,,,10in,T761,,8in,17in,,,,,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEAT STORM 1,500-Watt Electric Indoor-Outdoor Infrared Quartz Heater",69.97, , ,,Heat Storm,Electric,Portable Heater,Infrared,"Desk/Tabletop, Floor, Wall, Window",,Steel,,,HS-1500-OTR,120 V,,,1001-1500 W,,,,,5000-5999 BTU,101-150 sq ft,,,,,,,,,,,,,793573053657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO SHS80416 Strip Heater,Silicone Rubber,9 In. L",67.17, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TEMPCO,,Flexible Strip Heaters,,,,,,,SHS80416,120,,,,,,,,,,,SHS80416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ9010BK 1500-Watt Oil-Filled Digital Radiator Heater with Silent,65.96, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,"Oil, Corded",Portable Oil Filled Radiator,oil-filled radiator heater,Floor,,Metal,2,Digital,CZ9010BK,120 V,"Auto Shut-off, Wheels, Digital Display",,1001-1500 W,,,,,,251-300 sq ft,14 in,CZ9010BK,,4.9 in,60 in,,,,,,,,195925311574,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F273701 5' Propane Hose Assembly Set of 2,65.21, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater F215100 3,800 BTU/Hr Little Buddy Indoor Safe Propane Heater",66.99, ,"['Bought this for my weekend get always for camping. Just what I needed to keep my camper van nice and toasty.', 'Love this heater.  I have two of the buddy heaters but I like the size of this one though it doesn’t put out as much heat. ', 'Sturdy, safe, enough heat for small area, i.e. tent, ice shanty, etc.', 'THE BOTTOM REMOVABLE BASE IS NOT BIG ENOUGH', 'Great heater. Can be bought for less at local sporting goods store ', 'A great little heater', 'Provides amazing results in the small space of the car.', 'Great product works perfectly ', 'Great Price! Perfect!', 'Nice and good price']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,,Heaters,,,,,,,,,,,,,,,,,,10,F215100,,,,,,,,,,089301151000,089301151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,F,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLonghi Dragon  Portable Radiator Heater HM25E,, ,"['Takes a little getting use to in that my last one had a temperature display but this one is excellent in its output and will stay on for 24 hours (continuously).  I am becoming a DELONGHI brand type of guy, I guess. The only reason I did not give it a 5 was because there is no visible temperature display so it takes a little longer to figure out where the setting should be.', ""This Heater works well, but there are a few 'clunky' things about it:- The extension chord comes from the front of the heater.  This may be a safety thing - maybe?   It is inconvenient having the chord in the front- Also, the 'timer' is manual, very clunky and directly from the 1970's.   Wasn't expecting digital, but something more advanced than this.  Also, if the unit gets unplugged (which I try to do for safety reasons when not in use), the timer does not run and needs to be reset......bummer.Overall, it is a nice unit, does what it is supposed to do!"", 'Compact and easy to use. Heats my 10x15 office very nicely.', 'Very nice heater. It heats really good. I recommend it. Thank you.', 'I like it alot.  I already have another just like it so it was no surprise.  However, I did not expect the large dent on the side.  It was not mentioned in the description. ', 'I like the digital display thermostat. Be seem to work quite well and of the heaters out there this is one of my favorite. It’s not instant heat but more consistent heat￼', 'I am using it in too large a room to make a huge difference but one the room is warm it stays warm.  Nice not to have fan noise, but the heat does not spread because there is not a fan.  I am using it in a shop and could not have a live wire or a flame, so it is meeting expectations and safely.', 'Lov it - safe&amp; warm!  Perfect for my bedroom - which is approx. 12x16 - great!', 'Product will heat a small room. Allow at least 1/2 hour. It takes some time to reach warm temp but will maintain safely', 'It does exactly what I expected it to do, I love the quiet heat.']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",De'Longhi,Electric,Space Heaters,,,,Steel,,,,120 V,Timer,,,,,,,,,,TRD40615T,,,,,,,,,,,0044387047159,"White, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABTEK Fin Clamp Element Baseboard Heater Replacement Part 3/4 in Copper Piping,67.38,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",FabTek Logic,Hydronic,,Boiler,Baseboard,,Copper,1,,,,,,,,Copper,100%,Standard,,,,FCL-.75CX1FT,,,,,,,,,,0703765997720,0703765997720,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vintage Paulin Golf Cart Heater & Stand, Propane, Model 6000",67.9, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Paulin,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo 24"" Space Heater 10ft/s Fast Quiet Portable Electric with Remote Ships Free",69.98,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,Electric,Portable Heater,Forced Air/Fan,"Floor, Desk/Tabletop",,"Ceramic, Steel",3,"Remote Control, Touch, Analog/Mechanical",,,"Auto Shut-off, Oscillation",,1500 W,,Ceramic,,,Less Than 2000 BTU,,,DR-SH001,3 or Less,,,,,,,,,,0860006518189,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity HD Heavy Duty Shop Space Heater Black 10.4x11.7x12.9 inches L3,69.97, , ,,Vornado,Electric,Portable Heater,Forced Air/Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kotatsu Metro (METRO) Replacement heater U-shaped quartz tube MSU-501H (K),,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",METRO,Electric,Replacement heater,kotatsu,,,,,Switch,MSU-501H,100 V,,,501-600 W,,,,,,,,Does not apply,,,,,,,,,,,Does not apply,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
