Title,Price,Sold,Reviews,Condition,Brand,Type,Features,Power (W),MPN,EAN,Heating Element Format,Model,Colour,Control Type,Custom Bundle,Location,Manufacturer Colour,Modified Item,Width,Size,UPC,Non-Domestic Product,Material,Power Source,Mounting Location,Number of Heat Settings,Area Covered,Power,Control Style,Heating Element Material,Height,Depth,Heating System,Voltage,Color,Assembled Product Dimensions (L x W x H),Power Type,Manufacturer Part Number,Recommended Location,Assembled Product Weight,Manufacturer,ISBN,Timer Control,Item Length,Smart Home Protocol,Item Width,Bundle Listing,Unit Quantity,Unit Type,Bundle Description,Country/Region of Manufacture,Customized,Item Weight,Modification Description,Motorized,Personalized,Cable Length,Year Manufactured,Design,Voltage Supply,Item Depth,Operating Sound Rating,Annual Fuel Utilization Efficiency (AFUE),Air Direction,Number of Cool Speeds,Heating Technology,BTU Heating Rating,Room Coverage Area,Energy Star,Tank Capacity,Energy Efficiency Ratio (EER),Style,Noise Level,Manufacturer Color,OutOfStockControl,Item Height,Prop65_fl,Prop65Warning,Current Rating,Manufacturer Warranty,Connectivity,Product Weight (lb.),Power/Fuel Type,Product Width (in.),Indoor/Outdoor,Amperage (amps),Room Size,Portable Heater Features,Product Depth (in.),Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Product Height (in.),Portable Heater Safety Features,Cord Length (in.),Voltage (volts),Heater Controls,Smart Home Compatibility,Heating Method,Item Dimensions LxWxH,Assembled Height (Inches),Use Location,Current Rating (Amps),Lowe's Exclusive,Energy Saving Setting,Thermostat,Warranty,EC Range,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Timer,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Suitable for Safe Rooms,Wattage,Application,Certifications,Clearance,Heating Wattage,Maintained Operational Temperature,Recommended Environment,Remote Control,Compressive strength,Power deviation,Cable length,Product Name,Thickness,Shipping,Heat Output,Country of Origin,Compatible Brand,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Heating BTU,Tonnage,Product Width (in),Cord Length (in),Area Heated (Sq Ft),Heat rating (BTU/hour),Pack Size,Product Height (in),Color Family,globalTradeItemNumber (GTIN),Product Weight (lb),Certifications and Listings,Product Depth (in),Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Warranty Description,Department,Finish Types,Number of Pieces,Volume,Is Discontinued By Manufacturer,Batteries Required,Import Designation,item_length,item_width,Accessory Type,Use,Price,Seller,Returns,Service,Satisfaction,USA Shipping,Customer service,Shipping Exclusions,Topic,Language,Age Level,Refrigerant,PackQty,Compressor Type,style,Heater Style,Date Made,Dimensions,Features 1,Features 2,Source,2 heat settings,Carry Handle,Mount Location,Product Length (in),Bulb Type,Number of Elements,Energy Rating,manufacturer_part_number,Origin,Certification,Model Number,Insulation,Pattern Name,Battery Capacity,Battery Life,Weight,Length,Number of Batteries,Battery Size,Battery Included,Motor Type,SKU,StoreCategoryID,Output Power,Gift,Hight,UPC/GTIN Code,Mor Electric Heating SKU,Assembly Required,Firmness,Mount Type,Number of Items in Set,Product,Set Includes,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Model No.,Application/Usage,Area Coverage,Form Factor,Heating Element,Input Current,Input Voltage,Maximum Heat Power,Oscillation,Power Consumption,Product Model,Product Type,Weight (Approximate),Time Control,Room,Contents of the package,Rated power,Direction adjustment,Power cord length,brand name,Heating method,Overall Height,Overall Width,Heating Element Type,Cord Length,Plug Type,UL Listing,Minimum Heat Power,Baseboard Heating Type,Hydronic,Heating Technology Type,Vented,Heating Product Type,Home Decor Style,Price Per Unit UOM,Fuel Type,Count Per Pack,Country of Origin - Textiles,Finish,Is Portable,Count,Age Group,Color Category,Contained Battery Type,Recommended Use,PPU Quantity of Units,Piece Count,"Cleaning, Care & Maintenance",Shape,Maximum Room Size,Power Options
Industrial Cabinet Heater Anti-condensation air heater HVL031-100W-400W,39.09,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,,Does  not  Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN(Origin),NONE,fan heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electronic Ceramic Heater With Warm Air Motion Technology - Ceramic -,72.19,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,"Timer, Auto Shut-off",,CC13251,0046013768919,,Lasko CC13251,,,,,,,,,0046013768919,,Ceramic,"Battery, Electric",Floor,2,251-300 sq ft,1001-1500 W,Touch,,,,Convection,12 V,Black,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,Standard,,,,,5000-5999 BTU,,,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V Thermostat PTC Insulated Type Ceramic Air Heating Element Electric Heater,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Electric Heater Parts,"Auto Shut-off, Timer",,1829030357,,Strip,1829030335,,,No,,,,,,354482671778,,Ceramic,Electric,"Desk/Tabletop, Wall",1,None,3000W,"Digital, Push Button, Remote Control",PTC Thermistor,,,Forced Air/Fan,220 V,Multicolor,,,,,,,,None,See picture,"Clear Connect, Infrared",See picture,,,,,China,,,,,,See picture,2021,,,6 in,11-20 dB,None,None,,,Less Than 2000 BTU,,A+++,1 gal or Less (5 L),None,,,,,,,,None,Other: See Item Description,,,,,,,,,,,,,,,,,,Amazon Alexa,,,,,,,,,,A+++ - D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heated Foot Warmer Black Cozy Toasty Toes 105 Watt 120 Volt New and Improved,70.0,30-day returns,"[""First, a Toasty Toes draws 105 watts (not 90) and is warranted for ONLY 6 MONTHS (not 1 year).OK, so the minimal warranty, particularly on this basic an item, suggests that you're probably not getting a first class product, and its shoddy factory packaging which makes you look twice to make sure you haven't gotten open-box merchandise - The tape doesn't even stick to the cardboard! - confirms it.I called the company and was told that my Toasty Toes should get to 120º on its low heat setting and 140º on high.Nope!!! I've had two of them: the first one didn't get much past 100º...went back, and the second one got to 120º, but no higher...also went back. (The high heat option may work only when the unit is vertical, but I obviously haven't been able to find out.)As far as I can tell, they're using an unique design/cute name combo as an excuse to charge WAAAY TOO MUCH MONEY for an INFERIOR PRODUCT! :(My observations about my Toasty Toes insofar as it worked: I was hoping it would compensate for a cold floor draft, but I found that in its horizontal position it warmed the bottoms of my feet while leaving the tops cold, which left them pretty uncomfortable...not at all what I had hoped for.And in its vertical position it was inadequate on its low heat setting, and I'm not about to buy a third one (Softball rules: two strikes, and you're out!) in the hope that it may actually work both as it's supposed to and as I'd like.Looks like it's back to my ancient, reliable 600 watt radiant jobby, and damn the electricity bills, full comfort ahead! :)"", 'I read previous reviews of the earlier model of this item saying it did not get warm enough to feel through your shoes. (It worked OK with socks or bare feet).  That is why I bought the newer model having 104 Watts. (The box design is different than the older model.)  It does keep your feet warm even with shoes on.  (It takes a few minutes to warm up.)  It is sturdy, has two heat settings, and can be used in three positions.  (The two different pairs of legs fold out from the bottom.)  It does everything it is supposed to do.  I can not want more than that.  It has a six month warranty.', 'Actually keeps your feet warm.  I do a lot of computer work and my feet get sooooooo cold.  When your feet are warm, the rest of you stays warm.  Best with slippers.   tested with killawat tester.  97 watts at medium, 195 watts at high.  to stay warm for less than a hundred watts is a miracle.   I use as medium and have to take feet off periodically to cool down.  This is so wonderful. Thanks Cozy Products.', ""The product is sturdy and works well.  It includes two legs that let it incline at a sharper angle.  The legs don't latch very well but if don't need that feature, it is very good."", 'It does the job keeping my feet warm.Would be improved if it had an automatic off after x hours and/or more than one temperature setting.', 'This is exactly what I needed for my office in the winter.Even on low I sometime need to take my shoes off the footrest to let them cool off!I have been using it two weeks and so far even forgetting to turn it off over night has not hurt it at all.', ""It's made well but wow, does this get hot!  Even on low it gets uncomfortably hot - I haven't even tried the High setting.  I would not recommend this product."", 'Works as advertised. Wish the selector switch could be foot operated.', 'Bought it for my home office and it is perfect for the windy and cold corner where my desk sits.  Keeps me warm but not overheated.', 'Works as described so far, with Toasty feet !']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cozy,"Panel, Electric Portable Heater","Timer, Portable, Indoor, Heated, Heating, Automatic Shutoff,Nonslip Base,Thermostat,Timer,Adjustable Height, Adjustable Height, Heater, Thermostat,Nonslip Base,Automatic Shutoff,Timer,Adjustable Height",,COZYFOOTREST,,,TT,,,No,,,No,,,706069232610,,Plastic,"90W, Electric","Floor, Portable",2 Heat,,90,Dial,,,,Radiant,120 V,Black,,,,,,,,None,,,18 mm,,,,,China,,,,,,,,,,,Quiet,,,,,,,Not Compliant,,,Modern,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, 6 Months, Manufacturer’s Warranty",,,,,,,,,,Yes,,Personal Space Heater & Foot Rest,ETL Certified Zero-Clearance Item,No Clearance Required,,,,,,,,,,,,,,,,,,,,"18.03"" x 12.41"" x 1.77""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flat Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 6405 Designer Oscillating Heater,Gold",71.67, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,Does not apply,,,Does Not Apply,0711181385793,,6405,,,,,,,,,744110960754,,,,,,,,,,,,,,Gold,,,,,,Lasko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELONIS CUBE HEATER,75.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Pelonis,,,,UN KNOWN,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qmark B10 Mounting Bracket,3-10 Kw Heaters",71.99, , ,,QMark,HVAC Parts,When you need to install a MUH unit heater in a new location or a,,B10,,,BRACKET,,,,,,,,,0685360036540,,Steel,Electric,Wall,1,,,,,,11.000,,N/A,Black,,,,,,,,,,,11.000,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,7,21.000,N/A,N/A,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO CSH01627 Strip Heater,30-1/2 In. L,1200 Deg F",73.31, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TEMPCO,,,,CSH01627,,,CSH01627,,,,,,,,,094705067277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell 1,500 Watt Portable Electric Tower Heater HZ435TD1",70.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Honeywell,Tower Heater,,,,,,Honeywell HZ-435,,,,,,,,,Does not apply,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vtg 1930-40’s Knapp Monarch Cast Metal Base Industrial Gooseneck Portable Heater,,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Knapp Monarch,Portable Heater,,,,,,,,,,,,,,,,,,Electric,Floor,,,,,,,,Radiant,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO MBH20546 Band Heater,6 In. Dia.,120V,900 Deg F",73.04, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TEMPCO,Band Heaters,,,MBH20546,,,MBH20546,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOSTORIA 671-3454 Elc Infrd Htr Tblr Elmnt,5/8""x12-15/16""",72.19, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Fostoria,Infrared Heater Elements,,,FFH-512A,0686334883894,,671-3454,,,,,,,,,0686334883894,,Aluminum,Electric,,1,,,,,,,,120 V,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Desktop Electric Heater Home Office Heating Cooling Dual Use Fan Heater,74.35,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Electric Heater,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm HS-1500-OTR Infrared Heater 1500-watt,74.62, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,,,,Does not apply,Does not apply,,Does not apply,,,,,,,,1500-watt,793573053657,,,,,,,,,,,,,,Heater Only,,,,,,,0793573053657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell Slim Ceramic Tower Heater 2 Settings Over Heat Proctection Programable,70.0, ,"['Great quite heater that takes care of med/large size rooms quickly and maintains a good swing temp. ', 'The heater itself works great. It is a convenient size, big enough to put out heat yet small enough to be placed almost anywhere.', 'Very silent.', 'Heat very well!', 'works perfect for what I need.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,0092926103170,,,,,,,,,,,0092926103170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V Thermostat Industrial Heaters Warm Air Blower Fan Steam Air Heater 2KW Y,74.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Baseboard,Portable,,Does Not Apply,,,,,,No,"Garden,Bathroom,Living Room,Bedroom",,No,,,954872787562,No,,Electric,,,,,,,,,,220 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Fusion QGW15-602  Radiant Heat Workshop Electric Heater 1500 W / 5120 BTU,75.0, , ,,Pro Fusion,Work Zone Mounted Heater,,,QGW15-602,,Strip,QGW15-602,,,,,,,,,045734667525,,Steel,Electric,Upper Wall or Ceiling,3,,1500 W,String Pull Switch,Quartz,,,Radiant,120 V,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DURA HEAT TT-15CSA Tank-Top Propane Heater, 15,000-BTU - Quantity 1",70.44,6 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DURA HEAT,HOME COMFORT APPLIANCES,n/a,,TT-15CSA,,,,,,,,,,,,013204301507,,n/a,n/a,,,,,,,,,,n/a,,,,,,,,,,n/a,,8.250,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impress Oscillating Ceramic Tower Heater,72.23,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Impress,Space Heaters,,,IM-759B,,,IM-759B,,,,,,,,,0636555997597,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Home Improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,MEGA-IM-759B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATTON ELECTRIC SPACE HEATER,70.0,30-day returns, ,,Patton,Portable Heater,Auto Shut-off,,4003575,,Coil,Patton PUH680,,,,,,,,,DOES NOT APPLY,,Steel,Electric,Floor,Variable,100 sq ft or Less,1001-1500 W,Rotary Knob,,,,Radiant,120 V,Gray,,,,,,,,,,,14 in,,,,,China,,,,,,,,,,11 in,None,,,,,10000-10999 BTU,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
